from	to
Yersinia	Serinicoccus
Yersinia	Neptunomonas
Yersinia	Gardnerella
Yersinia	Sporocytophaga
Yersinia	Kribbella
Yersinia	Nitrolancea
Yersinia	Loktanella
Yersinia	Sunxiuqinia
Yersinia	Campylobacter
Yersinia	Proteus
Yersinia	Oscillospira
Yersinia	Cryomorpha
Yersinia	Tabrizicola
Yersinia	Aminobacterium
Yersinia	Cyanobacterium
Yersinia	Pantoea
Yersinia	Desulfotignum
Yersinia	Salinibacter
Yersinia	Pseudochrobactrum
Yersinia	Oribacterium
Yersinia	Cronobacter
Yersinia	Brachymonas
Yersinia	Muricauda
Yersinia	Alkalibacterium
Yersinia	Thermoflavimicrobium
Yersinia	Williamsia
Yersinia	Actinophytocola
Yersinia	Yimella
Yersinia	Granulicella
Yersinia	Myroides
Yersinia	Piscinibacter
Yersinia	Dethiosulfovibrio
Yersinia	Nocardiopsis
Yersinia	Aneurinibacillus
Yersinia	Candidatus Koribacter
Yersinia	Sporolactobacillus
Yersinia	Sediminimonas
Yersinia	Ornithinicoccus
Yersinia	Edaphobacter
Yersinia	Marinobacter
Yersinia	Kineococcus
Yersinia	Bellilinea
Yersinia	Rhodobaca
Yersinia	Humibacter
Yersinia	Kibdelosporangium
Yersinia	Niastella
Yersinia	Olleya
Yersinia	Chromohalobacter
Yersinia	Alicyclobacillus
Yersinia	Dactylosporangium
Yersinia	Kiloniella
Yersinia	Nevskia
Yersinia	Planococcus
Yersinia	Leptonema
Yersinia	Caldilinea
Yersinia	Actibacter
Yersinia	Nitrosospira
Yersinia	Aureispira
Yersinia	Frankia
Yersinia	Plantactinospora
Yersinia	Ureibacillus
Yersinia	Thermus
Yersinia	Caldimicrobium
Yersinia	Euzebya
Yersinia	Brachybacterium
Yersinia	Syntrophobotulus
Yersinia	Aerococcus
Yersinia	Pseudarcicella
Yersinia	Labilithrix
Yersinia	Parapedobacter
Yersinia	Pelomonas
Yersinia	Desulfurella
Yersinia	Sandarakinorhabdus
Yersinia	Microlunatus
Yersinia	Maribacter
Yersinia	Epilithonimonas
Yersinia	Sneathiella
Yersinia	Pararhodospirillum
Yersinia	Nonomuraea
Yersinia	Mariniphaga
Yersinia	Cryptosporangium
Yersinia	Calothrix
Yersinia	Frigoribacterium
Yersinia	Streptosporangium
Yersinia	Winogradskyella
Yersinia	Sulfobacillus
Yersinia	Reinekea
Yersinia	Thermoanaerobacterium
Yersinia	Isoptericola
Yersinia	Herminiimonas
Yersinia	Komagataeibacter
Yersinia	Advenella
Yersinia	Arcticibacter
Yersinia	Candidatus Regiella
Yersinia	Prevotella
Yersinia	Virgibacillus
Yersinia	Caldicellulosiruptor
Yersinia	Propioniciclava
Yersinia	Thermogemmatispora
Yersinia	Luteococcus
Yersinia	Pectobacterium
Yersinia	Syntrophaceticus
Yersinia	Lactonifactor
Yersinia	Actinoallomurus
Yersinia	Amycolatopsis
Yersinia	Candidatus Methylomirabilis
Yersinia	Nesterenkonia
Yersinia	Ktedonobacter
Yersinia	Halanaerobium
Yersinia	Candidatus Glomeribacter
Yersinia	Terriglobus
Yersinia	Lentzea
Yersinia	Geobacillus
Yersinia	Brachyspira
Yersinia	Longispora
Yersinia	Magnetospira
Yersinia	Sphingorhabdus
Yersinia	Leptospirillum
Yersinia	Alkaliphilus
Yersinia	Planifilum
Yersinia	Saprospira
Yersinia	Porticoccus
Yersinia	Dethiosulfatibacter
Yersinia	Serratia
Yersinia	Roseibacillus
Yersinia	Methylophaga
Yersinia	Oleispira
Yersinia	Alteromonas
Yersinia	Methylovorus
Yersinia	Methylovulum
Yersinia	Salmonella
Yersinia	Pelagibacterium
Yersinia	Grimontia
Yersinia	Rikenella
Yersinia	Thiomicrospira
Yersinia	Luminiphilus
Yersinia	Labrenzia
Yersinia	Idiomarina
Yersinia	Pricia
Yersinia	Moritella
Yersinia	Marinimicrobium
Yersinia	Thalassotalea
Yersinia	Oceanospirillum
Yersinia	Phocaeicola
Yersinia	Verminephrobacter
Yersinia	Magnetococcus
Yersinia	Melioribacter
Yersinia	Microbulbifer
Yersinia	Paucibacter
Yersinia	Actinomadura
Yersinia	Piscirickettsia
Yersinia	Candidatus Liberibacter
Yersinia	Tannerella
Yersinia	Ulvibacter
Yersinia	Pseudoalteromonas
Yersinia	Desulfitobacterium
Yersinia	Methylovirgula
Yersinia	Butyrivibrio
Yersinia	Pontibacter
Yersinia	Amphritea
Yersinia	Formosa
Yersinia	Spongiibacter
Yersinia	Alicycliphilus
Yersinia	Fibrella
Yersinia	Porphyrobacter
Yersinia	Citricoccus
Yersinia	Rarobacter
Yersinia	Trichormus
Yersinia	Aphanizomenon
Yersinia	Phycisphaera
Yersinia	Anabaenopsis
Yersinia	Salipiger
Yersinia	Sporichthya
Yersinia	Catenulispora
Yersinia	Glaciimonas
Yersinia	Nodularia
Yersinia	Desulfacinum
Yersinia	Dehalogenimonas
Yersinia	Caldalkalibacillus
Yersinia	Actinocatenispora
Yersinia	Anaerobiospirillum
Yersinia	Rhodothermus
Yersinia	Pandoraea
Yersinia	Trueperella
Yersinia	Thermoactinomyces
Yersinia	Crinalium
Yersinia	Arcanobacterium
Yersinia	Photorhabdus
Yersinia	Natribacillus
Yersinia	Ornithinimicrobium
Yersinia	Pilimelia
Yersinia	Aeribacillus
Yersinia	Geodermatophilus
Yersinia	Saccharomonospora
Yersinia	Nitrococcus
Yersinia	Thioalkalivibrio
Yersinia	Stanieria
Yersinia	Thermobifida
Yersinia	Senegalimassilia
Yersinia	Caloranaerobacter
Yersinia	Acidomonas
Yersinia	Tepidanaerobacter
Yersinia	Octadecabacter
Yersinia	Thermobispora
Yersinia	Intestinimonas
Yersinia	Angustibacter
Yersinia	Propionibacterium
Yersinia	Prochlorothrix
Yersinia	Laceyella
Yersinia	Oceanobacillus
Yersinia	Thermaerobacter
Yersinia	Prochlorococcus
Yersinia	Slackia
Yersinia	Anaeroplasma
Yersinia	Roseibacterium
Yersinia	Archangium
Yersinia	Natronincola
Yersinia	Panacagrimonas
Yersinia	Photobacterium
Yersinia	Aquimarina
Yersinia	Tenacibaculum
Xanthomonas	Syntrophus
Xanthomonas	Ferruginibacter
Xanthomonas	Halomonas
Xanthomonas	Sphingomonas
Xanthomonas	Bacteroides
Xanthomonas	Acinetobacter
Xanthomonas	Flavobacterium
Xanthomonas	Candidatus Microthrix
Xanthomonas	Aeromonas
Xanthomonas	Bifidobacterium
Xanthomonas	Comamonas
Xanthomonas	Megasphaera
Xanthomonas	Haliscomenobacter
Xanthomonas	Dokdonella
Xanthomonas	Hyphomicrobium
Xanthomonas	Thauera
Xanthomonas	Filimonas
Xanthomonas	Lautropia
Xanthomonas	Haliangium
Xanthomonas	Desulfovibrio
Xanthomonas	Devosia
Xanthomonas	Amaricoccus
Xanthomonas	Nitrospira
Xanthomonas	Methylotenera
Xanthomonas	Simplicispira
Xanthomonas	Faecalibacterium
Xanthomonas	Pseudomonas
Xanthomonas	Diaphorobacter
Xanthomonas	Paludibacter
Xanthomonas	Zymomonas
Xanthomonas	Prosthecobacter
Xanthomonas	Rhodobacter
Xanthomonas	Variovorax
Xanthomonas	Sediminibacterium
Xanthomonas	Opitutus
Xanthomonas	Dechloromonas
Xanthomonas	Thermomonas
Xanthomonas	Gemmata
Xanthomonas	Hydrogenophaga
Xanthomonas	Candidatus Accumulibacter
Xanthomonas	Aquabacterium
Xanthomonas	Sandaracinus
Xanthomonas	Tetrasphaera
Xanthomonas	Ottowia
Xanthomonas	Dongia
Xanthomonas	Hahella
Xanthomonas	Nitrosomonas
Xanthomonas	Raoultella
Xanthomonas	Acidovorax
Xanthomonas	Sulfuritalea
Xanthomonas	Klebsiella
Xanthomonas	Massilia
Xanthomonas	Sorangium
Xanthomonas	Chryseobacterium
Xanthomonas	Xylophilus
Xanthomonas	Desulfomicrobium
Xanthomonas	Bryobacter
Xanthomonas	Roseiflexus
Xanthomonas	Enterococcus
Xanthomonas	Enterobacter
Xanthomonas	Arenimonas
Xanthomonas	Rhodoferax
Xanthomonas	Bdellovibrio
Xanthomonas	Phenylobacterium
Xanthomonas	Taibaiella
Xanthomonas	Streptococcus
Xanthomonas	Novosphingobium
Xanthomonas	Polaromonas
Xanthomonas	Roseomonas
Xanthomonas	Fluviicola
Xanthomonas	Acidocella
Xanthomonas	Hirschia
Xanthomonas	Azoarcus
Xanthomonas	Stenotrophomonas
Xanthomonas	Runella
Xanthomonas	Pedobacter
Xanthomonas	Tolumonas
Xanthomonas	Acidiferrobacter
Xanthomonas	Reyranella
Xanthomonas	Rhizobium
Xanthomonas	Thiothrix
Xanthomonas	Aquimonas
Xanthomonas	Holdemanella
Xanthomonas	Parvularcula
Xanthomonas	Bacteriovorax
Xanthomonas	Moraxella
Xanthomonas	Pseudorhodoferax
Xanthomonas	Parachlamydia
Xanthomonas	Rhizobacter
Xanthomonas	Lewinella
Xanthomonas	Nocardioides
Xanthomonas	Zoogloea
Xanthomonas	Mycobacterium
Xanthomonas	Pirellula
Xanthomonas	Gordonia
Xanthomonas	Simiduia
Xanthomonas	Blautia
Xanthomonas	Turicibacter
Xanthomonas	Bacillus
Xanthomonas	Phreatobacter
Xanthomonas	Anaerostipes
Xanthomonas	Candidatus Competibacter
Xanthomonas	Limnobacter
Xanthomonas	Labrys
Xanthomonas	Chitinophaga
Xanthomonas	Gemmobacter
Xanthomonas	Giesbergeria
Xanthomonas	Anaerolinea
Xanthomonas	Dysgonomonas
Xanthomonas	Granulosicoccus
Xanthomonas	Sphingobium
Xanthomonas	Laribacter
Xanthomonas	Rubellimicrobium
Xanthomonas	Sulfurovum
Xanthomonas	Nitratireductor
Xanthomonas	Cellvibrio
Xanthomonas	Marmoricola
Xanthomonas	Bradyrhizobium
Xanthomonas	Flavihumibacter
Xanthomonas	Aquicella
Xanthomonas	Sphaerotilus
Xanthomonas	Anaerotruncus
Xanthomonas	Legionella
Xanthomonas	Defluviicoccus
Xanthomonas	Fusicatenibacter
Xanthomonas	Acidaminococcus
Xanthomonas	Altererythrobacter
Xanthomonas	Variibacter
Xanthomonas	Janibacter
Xanthomonas	Phascolarctobacterium
Xanthomonas	Staphylococcus
Xanthomonas	Dialister
Xanthomonas	Pseudoxanthomonas
Xanthomonas	Actinomyces
Xanthomonas	Alistipes
Xanthomonas	Azonexus
Xanthomonas	Burkholderia
Xanthomonas	Desulfuromonas
Xanthomonas	Noviherbaspirillum
Xanthomonas	Achromobacter
Xanthomonas	Leptothrix
Xanthomonas	Ramlibacter
Xanthomonas	Lysobacter
Xanthomonas	Nakamurella
Xanthomonas	Brevundimonas
Xanthomonas	Methylibium
Xanthomonas	Lachnospira
Xanthomonas	Defluviimonas
Xanthomonas	Coxiella
Xanthomonas	Hyphomonas
Xanthomonas	Curvibacter
Xanthomonas	Collinsella
Xanthomonas	Lactococcus
Xanthomonas	Sarcina
Xanthomonas	Shinella
Xanthomonas	Arthrobacter
Xanthomonas	Enterorhabdus
Xanthomonas	Roseimicrobium
Xanthomonas	Methylobacterium
Xanthomonas	Candidatus Nitrotoga
Xanthomonas	Elstera
Xanthomonas	Sedimentibacter
Xanthomonas	Methylocaldum
Xanthomonas	Candidatus Solibacter
Xanthomonas	Paenibacillus
Xanthomonas	Vitreoscilla
Xanthomonas	Lachnoclostridium
Xanthomonas	Limnohabitans
Xanthomonas	Rhizomicrobium
Xanthomonas	Cupriavidus
Xanthomonas	Ensifer
Xanthomonas	Deinococcus
Xanthomonas	Methylocystis
Xanthomonas	Delftia
Xanthomonas	Ruminiclostridium
Xanthomonas	Anaeromyxobacter
Xanthomonas	Cytophaga
Xanthomonas	Rhodoplanes
Xanthomonas	Barnesiella
Xanthomonas	Pseudorhodobacter
Xanthomonas	Methyloversatilis
Xanthomonas	Lysinibacillus
Xanthomonas	Herpetosiphon
Xanthomonas	Janthinobacterium
Xanthomonas	Parabacteroides
Xanthomonas	Modestobacter
Xanthomonas	Roseburia
Xanthomonas	Geobacter
Xanthomonas	Brevibacillus
Xanthomonas	Denitromonas
Xanthomonas	Desulfobacter
Xanthomonas	Rhodomicrobium
Xanthomonas	Sphingopyxis
Xanthomonas	Parasutterella
