from	to
Sphingopyxis	Candidatus Latescibacter
Sphingopyxis	Tepidimonas
Sphingopyxis	Sporotomaculum
Sphingopyxis	Rubripirellula
Sphingopyxis	Pelotomaculum
Sphingopyxis	Oxobacter
Sphingopyxis	Marinobacterium
Sphingopyxis	Eisenbergiella
Sphingomonas	Syntrophus
Sphingomonas	Bacteroides
Sphingomonas	Acinetobacter
Sphingomonas	Flavobacterium
Sphingomonas	Aeromonas
Sphingomonas	Hyphomicrobium
Sphingomonas	Desulfovibrio
Sphingomonas	Faecalibacterium
Sphingomonas	Pseudomonas
Sphingomonas	Rhodobacter
Sphingomonas	Variovorax
Sphingomonas	Gemmata
Sphingomonas	Candidatus Accumulibacter
Sphingomonas	Acidovorax
Sphingomonas	Xylophilus
Sphingomonas	Bryobacter
Sphingomonas	Streptococcus
Sphingomonas	Roseomonas
Sphingomonas	Acidocella
Sphingomonas	Stenotrophomonas
Sphingomonas	Blautia
Sphingomonas	Anaerostipes
Sphingomonas	Anaerolinea
Sphingomonas	Fusicatenibacter
