from		to				AI-2
Vibrio	;	Ensifer	Vibrio;Ensifer			Vibrio;Ensifer
Vibrio	;	Delftia	Vibrio;Delftia			Vibrio;Delftia
Vibrio	;	Ruminiclostridium	Vibrio;Ruminiclostridium			Vibrio;Ruminiclostridium
Vibrio	;	Brevibacillus	Vibrio;Brevibacillus			Vibrio;Brevibacillus
Vibrio	;	Desulfobacter	Vibrio;Desulfobacter			Vibrio;Desulfobacter
Vibrio	;	Leucobacter	Vibrio;Leucobacter			Vibrio;Leucobacter
Vibrio	;	Microbacter	Vibrio;Microbacter			Vibrio;Microbacter
Vibrio	;	Rhodopirellula	Vibrio;Rhodopirellula			Vibrio;Rhodopirellula
Vibrio	;	Veillonella	Vibrio;Veillonella			Vibrio;Veillonella
Vibrio	;	Leptospira	Vibrio;Leptospira			Vibrio;Leptospira
Vibrio	;	Mesorhizobium	Vibrio;Mesorhizobium			Vibrio;Mesorhizobium
Vibrio	;	Ochrobactrum	Vibrio;Ochrobactrum			Vibrio;Ochrobactrum
Vibrio	;	Pedosphaera	Vibrio;Pedosphaera			Vibrio;Pedosphaera
Vibrio	;	Georgenia	Vibrio;Georgenia			Vibrio;Georgenia
Vibrio	;	Rubrobacter	Vibrio;Rubrobacter			Vibrio;Rubrobacter
Vibrio	;	Methylobacter	Vibrio;Methylobacter			Vibrio;Methylobacter
Vibrio	;	Microbacterium	Vibrio;Microbacterium			Vibrio;Microbacterium
Vibrio	;	Treponema	Vibrio;Treponema			Vibrio;Treponema
Vibrio	;	Streptomyces	Vibrio;Streptomyces			Vibrio;Streptomyces
Vibrio	;	Candidatus Caldatribacterium	Vibrio;Candidatus Caldatribacterium			Vibrio;Candidatus Caldatribacterium
Vibrio	;	Eubacterium	Vibrio;Eubacterium			Vibrio;Eubacterium
Vibrio	;	Acetobacter	Vibrio;Acetobacter			Vibrio;Acetobacter
Vibrio	;	Kaistia	Vibrio;Kaistia			Vibrio;Kaistia
Vibrio	;	Cohaesibacter	Vibrio;Cohaesibacter			Vibrio;Cohaesibacter
Vibrio	;	Pseudonocardia	Vibrio;Pseudonocardia			Vibrio;Pseudonocardia
Vibrio	;	Oxalobacter	Vibrio;Oxalobacter			Vibrio;Oxalobacter
Vibrio	;	Thioclava	Vibrio;Thioclava			Vibrio;Thioclava
Vibrio	;	Atopobium	Vibrio;Atopobium			Vibrio;Atopobium
Vibrio	;	Oscillibacter	Vibrio;Oscillibacter			Vibrio;Oscillibacter
Vibrio	;	Tessaracoccus	Vibrio;Tessaracoccus			Vibrio;Tessaracoccus
Vibrio	;	Providencia	Vibrio;Providencia			Vibrio;Providencia
Vibrio	;	Olsenella	Vibrio;Olsenella			Vibrio;Olsenella
Vibrio	;	Sphaerochaeta	Vibrio;Sphaerochaeta			Vibrio;Sphaerochaeta
Vibrio	;	Acidiphilium	Vibrio;Acidiphilium			Vibrio;Acidiphilium
Vibrio	;	Starkeya	Vibrio;Starkeya			Vibrio;Starkeya
